㔶	kong
层面	ceng mien
层高	ceng gau
屃	bi
居	jyu
居下讪上	jyu ha son xiong
居下风	jyu ha feng
居不求安	jyu bei qiu ngon
居不重席	jyu bei qiung xi
居不重茵	jyu bei qiung yin
居业	jyu nie
居丧	jyu song
居中	jyu jiung
居中调停	jyu jiung tieu tin
居丹徒	jyu dan tu
居为己有	jyu wei ji yiu
居之不疑	jyu zi bei ni
居之城	jyu zi cen
居于	jyu yu
居仁堂	jyu nin tong
居仁由义	jyu nin yiu ni
居代郡	jyu toi fen
居会稽	jyu fi ji
居伯塞	jyu be se
居住	jyu qyu
居住区	jyu qyu qyu
居住单元	jyu qyu dan yon
居住地	jyu qyu ti
居住小区	jyu qyu xieu qyu
居住期限	jyu qyu qi han
居住权	jyu qyu qon
居住用地	jyu qyu yiung ti
居住者	jyu qyu jia
居住舱	jyu qyu cong
居住证	jyu qyu zen
居住面积	jyu qyu mien ji
居侧宫	jyu ze gung
居停	jyu tin
居停主人	jyu tin jyu nin
居元朝	jyu yon zeu
居先	jyu xien
居全洲	jyu qon jiu
居兰陵	jyu lan lin
居养静	jyu yong qin
居内什	jyu nyu xia
居利希	jyu li xi
居利思义	jyu li su ni
居功	jyu gung
居功不傲	jyu gung bei ngau
居功厥伟	jyu gung qyu wei
居功自傲	jyu gung cu ngau
居功自恃	jyu gung cu si
居功自满	jyu gung cu mon
居功至伟	jyu gung zi wei
居勒尼	jyu lei ni
居史馆	jyu si guon
居各洲	jyu go jiu
居启祥	jyu qi xiong
居国相	jyu gue xiong
居址	jyu zi
居城	jyu cen
居士	jyu si
居士林	jyu si lin
居处	jyu qyu
居夏州	jyu ha zeu
居多	jyu do
居多数	jyu do su
居大不易	jyu tai bei ya
居天园	jyu tien yon
居天子	jyu tien zu
居奇	jyu qi
居奇牟利	jyu qi mau li
居妇	jyu fu
居委	jyu wei
居委会	jyu wei fi
居姜水	jyu jiong xyu
居宅	jyu zai
居安思危	jyu ngon su wei
居安虑危	jyu ngon lyu wei
居安资深	jyu ngon zu sen
居安邑	jyu ngon yi
居宗周	jyu zeng zeu
居官	jyu guon
居官之	jyu guon zi
居官守法	jyu guon seu fa
居室	jyu si
居宫城	jyu gung cen
居家	jyu ga
居宿卫	jyu su wei
居屋	jyu wu
居岸	jyu ngon
居巢	jyu cau
居巢区	jyu cau qyu
居帮主	jyu bong jyu
居常土	jyu qiong tu
居常虑变	jyu qiong lyu bien
居庆州	jyu qin zeu
居庸	jyu yiung
居庸关	jyu yiung kuan
居延塞	jyu yen se
居延海	jyu yen hoi
居延简	jyu yen teng
居建康	jyu jien kong
居心	jyu xin
居心不良	jyu xin bei liong
居心叵测	jyu xin po ce
居心险恶	jyu xin xien ngo
居怀州	jyu fai zeu
居慈宁	jyu cu ning
居所	jyu so
居所住地	jyu so qyu ti
居敬堂	jyu jin tong
居文沛	jyu wen pi
居新丰	jyu xin feng
居无定	jyu wu tiang
居无定所	jyu wu tiang so
居无求安	jyu wu qiu ngon
居昌黎	jyu qiong li
居易	jyu ya
居晋阳	jyu jin yong
居未央	jyu wei yong
居本洲	jyu ben jiu
居杨爷	jyu yong ya
居柏塞	jyu be se
居次	jyu cu
居正	jyu jiang
居正久	jyu jiang jiu
居正伸	jyu jiang sen
居正停	jyu jiang tin
居正先	jyu jiang xien
居正刚	jyu jiang gong
居正力	jyu jiang li
居正听	jyu jiang tiang
居正命	jyu jiang miang
居正咬	jyu jiang ngau
居正喊	jyu jiang hang
居正嘴	jyu jiang jyu
居正因	jyu jiang yin
居正大	jyu jiang tai
居正官	jyu jiang guon
居正府	jyu jiang fu
居正微微	jyu jiang zang zang
居正心	jyu jiang xin
居正忍	jyu jiang nin
居正怀	jyu jiang fai
居正恭	jyu jiang gung
居正才	jyu jiang coi
居正揉	jyu jiang leu
居正放	jyu jiang fong
居正明	jyu jiang miang
居正朝	jyu jiang zeu
居正父	jyu jiang fu
居正略	jyu jiang lyue
居正立	jyu jiang li
居正站	jyu jiang zan
居正笑	jyu jiang xieu
居正耐	jyu jiang lai
居正言	jyu jiang nien
居正赞	jyu jiang zan
居正遂	jyu jiang sei
居正顿	jyu jiang den
居正马	jyu jiang ma
居武川	jyu wu qon
居民	jyu min
居民区	jyu min qyu
居民委	jyu min wei
居民家庭	jyu min ga tin
居民小区	jyu min xieu qyu
居民收入	jyu min seu lu
居民楼	jyu min leu
居民消费	jyu min xieu fi
居民点	jyu min dien
居民身份证	jyu min sen fen zen
居水泊	jyu xyu bo
居永嘉	jyu yiung ga
居汲郡	jyu ji fen
居浩罕	jyu hau hon
居然	jyu len
居留	jyu liu
居留地	jyu liu ti
居留权	jyu liu qon
居留证	jyu liu zen
居皇后	jyu fong heu
居相州	jyu xiong zeu
居碎叶	jyu xyu ye
居禁宫	jyu jin gung
居积	jyu ji
居移气	jyu yi qi
居维叶	jyu wei ye
居者	jyu jia
居胥山	jyu jyu san
居舍	jyu xia
居草庐	jyu cau lu
居荒谷	jyu fong gu
居蒙蒂	jyu meng di
居西京	jyu xi jin
居诸卫	jyu jyu wei
居车儿	jyu qia e
居轴处中	jyu zeu qyu jiung
居里	jyu li
居里夫人	jyu li fu nin
居里点	jyu li dien
居重驭轻	jyu qiung yu qiang
居野	jyu ya
居金文	jyu jin wen
居长安	jyu qiong ngon
居长生	jyu qiong sang
居间	jyu gan
居间人	jyu gan nin
居阿尔	jyu nga ng
居雅尔	jyu nga ng
居静室	jyu qin si
居首	jyu seu
居首位	jyu seu wei
居首功	jyu seu gung
居高不下	jyu gau bei ha
居高临下	jyu gau lin ha
居鲁士	jyu lu si
居龙藏	jyu liung cong
屈	qyu
屈一伸	qyu yi sen
屈一伸万	qyu yi sen wan
屈一膝	qyu yi qi
屈万乘	qyu wan cen
屈万祥	qyu wan xiong
屈中恒	qyu jiung heng
屈从	qyu qiung
屈伸	qyu sen
屈光	qyu guong
屈光力	qyu guong li
屈光学	qyu guong ho
屈光度	qyu guong tu
屈光性	qyu guong xin
屈光间	qyu guong gan
屈出律	qyu qyu lyu
屈切克	qyu qie kie
屈原	qyu nyuon
屈原号	qyu nyuon hau
屈原村	qyu nyuon qyun
屈原滩	qyu nyuon tan
屈原祠	qyu nyuon cu
屈右膝	qyu yiu qi
屈场	qyu qiong
屈大均	qyu tai jyun
屈子祠	qyu zu cu
屈子行	qyu zu hang
屈子问	qyu zu wen
屈孝鹏	qyu hau pen
屈家岭	qyu ga liang
屈尊	qyu zeng
屈尊俯就	qyu zeng fu qiu
屈尊就卑	qyu zeng qiu bi
屈尔佩	qyu ng pi
屈就	qyu qiu
屈就于	qyu qiu yu
屈居	qyu jyu
屈居亚军	qyu jyu nga jyun
屈居人	qyu jyu nin
屈戌儿	qyu xyu e
屈才	qyu coi
屈打成招	qyu da cen zeu
屈折语	qyu ze nyu
屈指	qyu zi
屈指一算	qyu zi yi son
屈指可数	qyu zi kie su
屈文中	qyu wen jiung
屈明光	qyu miang guong
屈明泉	qyu miang qon
屈晓勇	qyu xieu yiung
屈曲	qyu qyu
屈服	qyu fu
屈服于	qyu fu yu
屈服应力	qyu fu yin li
屈服点	qyu fu dien
屈朝阳	qyu zeu yong
屈枉	qyu wong
屈柘枝	qyu za zi
屈死	qyu su
屈死之	qyu su zi
屈死鬼	qyu su gui
屈氏体	qyu si ti
屈求伸	qyu qiu sen
屈留大	qyu liu tai
屈膝	qyu qi
屈膝投降	qyu qi teu gong
屈臣氏	qyu cen si
屈艳班香	qyu yen ban xiong
屈节	qyu jie
屈节辱命	qyu jie lu miang
屈菜科	qyu coi ko
屈蠖求伸	qyu ngo qiu sen
屈谷巨瓠	qyu gu jyu fu
屈起	qyu qi
屈身	qyu sen
屈辱	qyu lu
屈辱性	qyu lu xin
屈银华	qyu ngin fa
屈阿栈	qyu nga zan
屈驾	qyu ga
屈高就下	qyu gau qiu ha
屉	ti
屉子	ti zu
届	kai
届临	kai lin
届时	kai si
届期	kai qi
届满	kai mon
届满时	kai mon si
屋上乌	wu xiong wu
屋上架屋	wu xiong ga wu
屋下作屋	wu ha zo wu
屋下架尾	wu ha ga mi
屋下架屋	wu ha ga wu
屋下盖尾	wu ha goi mi
屋中	wu jiung
屋主	wu jyu
屋久岛	wu jiu dau
屋乌之爱	wu wu zi ngoi
屋乌推爱	wu wu tei ngoi
屋企	wu qi
屋内	wu nyu
屋前	wu qien
屋前空地	wu qien kung ti
屋后	wu heu
屋场	wu qiong
屋基	wu ji
屋基石	wu ji xia
屋外	wu ngoi
屋头	wu teu
屋如七星	wu lu qi xin
屋子	wu zu
屋子里	wu zu li
屋宇	wu yu
屋架	wu ga
屋梁	wu liong
屋楣	wu mi
屋檐	wu yen
屋檐下	wu yen ha
屋漏	wu leu
屋瓦	wu nga
屋翳	wu qi
屋脊	wu ji
屋脊爪	wu ji zau
屋舍	wu xia
屋角	wu go
屋里	wu li
屋里人	wu li nin
屋门	wu men
屋隅	wu yu
屋面	wu mien
屋面板	wu mien ban
屋面瓦	wu mien nga
屋顶	wu diang
屋顶板	wu diang ban
屋顶织布	wu diang zi bu
屋顶花园	wu diang fa yon
屋顶违建	wu diang wei jien
屋顶风机	wu diang feng ji
屋项	wu hong
屎	si
屎壳郎	si ko long
屎尿	si nieu
屎屁直流	si pi ci liu
屎流屁滚	si liu pi gun
屎滚尿流	si gun nieu liu
屎王	si wong
屎盆子	si pen zu
屏	pin
屏东	pin deng
屏东农专	pin deng leng jon
屏东县	pin deng xon
屏东市	pin deng si
屏东师范	pin deng su fan
屏住	pin qyu
屏保	pin bau
屏南	pin lang
屏南县	pin lang xon
屏声息气	pin xiang xi qi
屏声敛息	pin xiang lien xi
屏声敛气	pin xiang lien qi
屏声静气	pin xiang qin qi
屏山	pin san
屏山县	pin san xon
屏幕	pin mu
屏幕墙	pin mu qiong
屏幕提示	pin mu tia si
屏幕显示	pin mu xien si
屏弃	pin qi
屏息	pin xi
屏息以待	pin xi yi toi
屏息静观	pin xi qin guon
屏条	pin tieu
屏极	pin ji
屏气	pin qi
屏气凝神	pin qi nin sen
屏气吞声	pin qi teng xiang
屏气慑息	pin qi ze xi
屏气敛声	pin qi lien xiang
屏气敛息	pin qi lien xi
屏流比	pin liu bi
屏石	pin xia
屏绝	pin qie
屏蔽	pin bi
屏蔽其	pin bi qi
屏蔽向量	pin bi xiong liong
屏蔽器	pin bi qi
屏蔽掉	pin bi die
屏蔽泵	pin bi bang
屏蔽电极	pin bi tien ji
屏蔽着	pin bi qio
屏蔽线	pin bi xien
屏蔽门	pin bi men
屏藩	pin fan
屏边	pin bien
屏边苗族自治县	pin bien mieu zu cu zi xon
屏迹	pin ji
屏退	pin tei
屏门	pin men
屏除	pin qyu
屏障	pin jiong
屏风	pin feng
屐	jyu
屐齿之折	jyu ci zi ze
屑	xie
屑意	xie yi
展	zen
展业	zen nie
展书官	zen xyu guon
展云族	zen yun zu
展令扬	zen lin yong
展会	zen fi
展位	zen wei
展位号	zen wei hau
展兵刃	zen bin len
展出	zen qyu
展区	zen qyu
展卖	zen mai
展厅	zen tiang
展台	zen toi
展品	zen pin
展商	zen xiong
展团	zen ton
展场	zen qiong
展子虔	zen zu qien
展宏图	zen feng tu
展室	zen si
展宽	zen kuon
展寿席	zen seu xi
展展	zen zen
展布	zen bu
展平	zen piang
展延	zen yen
展开	zen koi
展开剂	zen koi ji
展开式	zen koi si
展开攻势	zen koi gung si
展开讨论	zen koi tau len
展开部	zen koi pu
展弦比	zen xon bi
展性	zen xin
展愁眉	zen ceu mi
展拓	zen to
展播	zen bo
展教	zen gau
展映	zen yang
展望	zen wong
展望未来	zen wong wei loi
展期	zen qi
展未展	zen wei zen
展板	zen ban
展架	zen ga
展柜	zen kui
展源	zen yon
展演	zen yen
展牌	zen pai
展现	zen xien
展现出	zen xien qyu
展眉	zen mi
展眉舒眼	zen mi xyu ngan
展着剂	zen qio ji
展示	zen si
展示中心	zen si jiung xin
展示会	zen si fi
展示出	zen si qyu
展示区	zen si qyu
展示厅	zen si tiang
展示台	zen si toi
展示室	zen si si
展示架	zen si ga
展示柜	zen si kui
展示馆	zen si guon
展线	zen xien
展缓	zen fon
展缓期限	zen fon qi han
展翅	zen ci
展翅欲飞	zen ci yu fi
展翅飞翔	zen ci fi xiong
展翅高飞	zen ci gau fi
展翼	zen ye
展视	zen si
展览	zen lan
展览业	zen lan nie
展览会	zen lan fi
展览会场	zen lan fi qiong
展览厅	zen lan tiang
展览品	zen lan pin
展览室	zen lan si
展览架	zen lan ga
展览路	zen lan lu
展览馆	zen lan guon
展评	zen pin
展读	zen tu
展转	zen jon
展销	zen xieu
展销会	zen xieu fi
展销品	zen xieu pin
展销网	zen xieu mong
展销部	zen xieu pu
展限	zen han
展露	zen lu
展露出	zen lu qyu
展露出来	zen lu qyu loi
展露头角	zen lu teu go
展颜	zen yen
展馆	zen guon
展香主	zen xiong jyu
属	xu
属下	xu ha
属于	xu yu
属人法	xu nin fa
属人耳目	xu nin e mu
属僚	xu lieu
属区	xu qyu
属名	xu miang
属吏	xu li
属员	xu yon
属国	xu gue
属地	xu ti
属地化	xu ti fa
属垣有耳	xu yon yiu e
属实	xu si
属性	xu xin
属性数据	xu xin su jyu
属性语法	xu xin nyu fa
属意	xu yi
属意于	xu yi yu
属望	xu wong
属概念	xu goi nien
属毛离里	xu mau li li
属狗	xu gieu
属猪	xu jyu
属目	xu mu
属相	xu xiong
属词比事	xu cu bi su
属辞比事	xu cu bi su
属间杂交	xu gan ca gau
属鸡	xu ji
屠	tu
屠兀耆	tu tu qi
屠先生	tu xien sang
屠刀	tu dau
屠场	tu qiong
屠城	tu cen
屠城之	tu cen zi
屠城记	tu cen ji
屠夫	tu fu
屠宰	tu zai
屠宰业	tu zai nie
屠宰厂	tu zai qiong
屠宰场	tu zai qiong
屠宰率	tu zai soi
屠宰税	tu zai xyu
屠岸贾	tu ngon ga
屠彭连	tu pang lien
屠戮	tu liu
屠户	tu fu
屠所牛羊	tu so niu yong
屠拉蒂	tu lai di
屠杀	tu sai
屠格涅夫	tu ga nie fu
屠毒笔墨	tu tu bi me
屠洪刚	tu feng gong
屠潭州	tu tan zeu
屠灭	tu mie
屠知牙	tu zi nga
屠苏	tu su
屠苏酒	tu su jiu
屠贩	tu fan
屠赞巴	tu zan ba
屠门大嚼	tu men tai qieu
屠龙	tu liung
屠龙之	tu liung zi
屠龙之伎	tu liung zi ji
屠龙之技	tu liung zi ji
屠龙之计	tu liung zi ji
屠龙刀	tu liung dau
屠龙功	tu liung gung
屠龙帮	tu liung bong
屠龙记	tu liung ji
屡	lyu
屡仆屡起	lyu pu lyu qi
屡劝不听	lyu qyuon bei tiang
屡劝不改	lyu qyuon bei goi
屡受	lyu seu
屡变星霜	lyu bien xin song
屡增	lyu zen
屡屡	lyu lyu
屡建奇功	lyu jien qi gung
屡战屡北	lyu zan lyu be
屡战屡胜	lyu zan lyu sen
屡战屡败	lyu zan lyu pai
屡攻未果	lyu gung wei guo
屡教不改	lyu gau bei goi
屡次	lyu cu
屡次三番	lyu cu san fan
屡犯	lyu fan
屡禁	lyu jin
屡禁不止	lyu jin bei zi
屡禁不绝	lyu jin bei qie
屡见	lyu jien
屡见不鲜	lyu jien bei xien
屡试不爽	lyu si bei song
屡试不第	lyu si bei ti
屡试屡验	lyu si lyu yen
屡败屡战	lyu pai lyu zan
屡进屡退	lyu jin lyu tei
屡遭	lyu zau
屣	sa
履	lyu
履仁蹈义	lyu nin dau ni
履任	lyu lin
履信思顺	lyu xin su xyun
履历	lyu li
履历表	lyu li bieu
履带	lyu dai
履带吊	lyu dai dieu
履带式	lyu dai si
履新	lyu xin
履机乘变	lyu ji cen bien
履汤蹈火	lyu tong dau fo
履痕	lyu hen
履盈蹈满	lyu yang dau mon
履穿踵决	lyu qon jyung ko
履约	lyu yo
履职	lyu zi
履舄交错	lyu xi gau co
履获	lyu fo
履薄临深	lyu po lin sen
履行	lyu hang
履行义务	lyu hang ni wu
履行任务	lyu hang lin wu
履行合同	lyu hang ho teng
履行地	lyu hang ti
履行延迟	lyu hang yen ci
履行期	lyu hang qi
履行职责	lyu hang zi ze
履行诺言	lyu hang lo nien
履足差肩	lyu zu cai jien
履险如夷	lyu xien lu yi
履险若夷	lyu xien lo yi
履险蹈危	lyu xien dau wei
履霜之戒	lyu song zi kai
履霜坚冰	lyu song jien bin
履霜知冰	lyu song zi bin
屦	jyu
屦及剑及	jyu ji jien ji
屦贱踊贵	jyu qien yiung gui
屯	ten
屯兵	ten bin
屯垦	ten kien
屯垦员	ten kien yon
屯子	ten zu
屯守	ten seu
屯戍	ten xyu
屯扎	ten zai
屯昌	ten qiong
屯昌县	ten qiong xon
屯毛不辨	ten mau bei pan
屯河	ten ho
屯溪	ten xi
屯溪区	ten xi qyu
屯溪市	ten xi si
屯溪路	ten xi lu
屯田	ten tien
屯田制	ten tien zi
屯田客	ten tien ka
屯留	ten liu
屯留县	ten liu xon
屯积	ten ji
屯积居奇	ten ji jyu qi
屯籍	ten ji
屯粮	ten liong
屯粮积草	ten liong ji cau
屯聚	ten jyu
屯聚处	ten jyu qyu
屯落	ten lai
屯街塞巷	ten gai se hong
屯蹶否塞	ten gai feu se
屯里	ten li
屯门	ten men
屯集	ten ji
屯驻	ten jyu
山	san
山万岭	san wan liang
山三岭	san san liang
山上	san xiong
山上人家	san xiong nin ga
山上山下	san xiong san ha
山下	san ha
山下人家	san ha nin ga
山下真澄	san ha zen din
山不容	san bei yiung
山不转	san bei jon
山不转路转	san bei jon lu jon
山与泽	san yu ca
山丘	san qiu
山丘区	san qiu qyu
山丘陵	san qiu lin
山丛	san ceng
山东	san deng
山东丘陵	san deng qiu lin
山东人	san deng nin
山东医科大学	san deng yi ko tai ho
山东半岛	san deng bon dau
山东地区	san deng ti qyu
山东大学	san deng tai ho
山东大学中文系	san deng tai ho jiung wen xi
山东大鼓	san deng tai gu
山东女排	san deng nyu pai
山东工艺美术学院	san deng gung ni mi xyu ho yon
山东师范大学	san deng su fan tai ho
山东快书	san deng kuai xyu
山东梆子	san deng bang zu
山东泰山	san deng toi san
山东海化集团	san deng hoi fa ji ton
山东理工大学	san deng li gung tai ho
山东电力	san deng tien li
山东画报出版社	san deng fa bau qyu ban xia
山东省	san deng sen
山东省人大	san deng sen nin tai
山东省人民政府	san deng sen nin min zen fu
山东省公安厅	san deng sen gung ngon tiang
山东省委	san deng sen wei
山东省政府	san deng sen zen fu
山东省物价局	san deng sen wu ga qiu
山东省统计局	san deng sen teng ji qiu
山东站	san deng zan
山东航空公司	san deng hong kung gung su
山东铝业	san deng lyu nie
山东队	san deng dei
山东鲁能	san deng lu len
山东鲁能泰山队	san deng lu len toi san dei
山东鲁能队	san deng lu len dei
山东黄河河务局	san deng wong ho ho wu qiu
山中	san jiung
山中宰相	san jiung zai xiong
山中峰	san jiung feng
山中建	san jiung jien
山中湖	san jiung fu
山中瑞	san jiung lei
山中采	san jiung coi
山中野	san jiung ya
山丹	san dan
山丹丹	san dan dan
山丹丹花	san dan dan fa
山丹县	san dan xon
山为垒	san wei lei
山为陵	san wei lin
山主	san jyu
山之东	san zi deng
山之主	san zi jyu
山之南	san zi lang
山之宝	san zi bau
山之捷	san zi jie
山之术	san zi xyu
山之西	san zi xi
山之誓	san zi si
山之阳	san zi yong
山乌桓	san wu yon
山九仞	san jiu len
山习	san xi
山乡	san xiong
山书会	san xyu fi
山争田	san zang tien
山亏一篑	san kui yi kui
山产	san can
山亭	san tin
山亭区	san tin qyu
山人	san nin
山介溪	san kai xi
山仙宫	san xien gung
山以东	san yi deng
山伯	san be
山伯爵	san be jyue
山伯英	san be yin
山体	san ti
山体中	san ti jiung
山体效应	san ti hau yin
山保林	san bau lin
山光水	san guong xyu
山光水色	san guong xyu se
山兔	san tu
山八珍	san bai zen
山公倒载	san gung dau zoi
山兴庆	san xin qin
山内	san nyu
山冈	san gong
山农	san leng
山凹	san ngau
山分甲	san fen ga
山前	san qien
山前山后	san qien san heu
山剑法	san jien fa
山剑湖	san jien fu
山剑阵	san jien zen
山势	san si
山势峻拔	san si jyun pai
山包	san bau
山包海容	san bau hoi yiung
山北	san be
山北坡	san be po
山北开	san be koi
山北端	san be doi
山匪	san fi
山区	san qyu
山区农业	san qyu leng nie
山区县	san qyu xon
山华牌	san fa pai
山卓港	san zo gong
山南	san lang
山南地区	san lang ti qyu
山南坡	san lang po
山南海北	san lang hoi be
山南行	san lang hang
山南路	san lang lu
山卜	san bu
山卸岭	san ha liang
山厦	san ha
山县	san xon
山参	san can
山口	san kieu
山口县	san kieu xon
山口县岩	san kieu xon ngai
山口智子	san kieu zi zu
山口百惠	san kieu ba fi
山口组	san kieu zu
山名	san miang
山名青	san miang qiang
山后	san heu
山向东	san xiong deng
山吟泽唱	san yin ca qiong
山呼	san fu
山呼海啸	san fu hoi xieu
山和尚	san ho xiong
山响	san xiong
山哥	san ko
山嘴	san jyu
山回路转	san fi lu jon
山园	san yon
山国	san gue
山圆静	san yon qin
山地	san ti
山地区	san ti qyu
山地同胞	san ti teng bau
山地气候	san ti qi heu
山地沼泽	san ti zeu ca
山地舞	san ti wu
山地车	san ti qia
山地部落	san ti pu lai
山场	san qiong
山坑	san kang
山坞	san wu
山坡	san po
山坡土	san po tu
山坡地	san po ti
山坡羊	san po yong
山坡路	san po lu
山坳	san ngau
山垄	san leng
山城	san cen
山城区	san cen qyu
山城堡	san cen bau
山域	san yu
山堂	san tong
山堂集	san tong ji
山堡	san bau
山堡东	san bau deng
山塘	san tong
山填海	san tien hoi
山墙	san qiong
山墙饰	san qiong si
山壁	san bia
山壑	san fo
山士奇	san si qi
山复整妆	san fu zen zong
山夜	san ya
山大	san tai
山大川	san tai qon
山大玉	san tai yu
山大王	san tai wong
山大路	san tai lu
山太保	san toi bau
山头	san teu
山头主义	san teu jyu ni
山头角	san teu go
山头道	san teu tau
山妹	san moi
山妻	san qi
山姆	san mu
山姆叔叔	san mu xu xu
山姆大叔	san mu tai xu
山子	san zu
山子石	san zu xia
山子野	san zu ya
山宗	san zeng
山官道	san guon tau
山定逸	san tiang yi
山客	san ka
山容	san yiung
山容海纳	san yiung hoi la
山寒水冷	san hon xyu lang
山寨	san zai
山寺	san si
山寺镇	san si zen
山寻龙	san qin liung
山导河	san dau ho
山寿马	san seu ma
山小寨	san xieu zai
山尖	san jien
山居	san jyu
山山	san san
山山岭岭	san san liang liang
山山水水	san san xyu xyu
山山脉	san san me
山山腹	san san fu
山山谷	san san gu
山岗	san gong
山岚	san tan
山岛	san dau
山岩	san ngai
山岩刻	san ngai kie
山岭	san liang
山岭连亘	san liang lien xon
山岳	san yue
山岳冰川	san yue bin qon
山峡	san ha
山峦	san lon
山峦起伏	san lon qi fu
山峰	san feng
山崎	san qi
山崎拓	san qi to
山崎龙二	san qi liung e
山崖	san ngai
山崩	san beng
山崩地塌	san beng ti ta
山崩地裂	san beng ti lie
山崩地陷	san beng ti xien
山崩川竭	san beng qon jie
山崩水竭	san beng xyu jie
山崩海啸	san beng hoi xieu
山崩钟应	san beng jiung yin
山巅	san dien
山川	san qon
山川相隔	san qon xiong ga
山川米聚	san qon mi jyu
山川险阻	san qon xien zu
山左山	san zo san
山巨岩	san jyu ngai
山巨源	san jyu yon
山巫陵	san wu lin
山师	san su
山师东	san su deng
山庄	san zong
山延历	san yen li
山建	san jien
山开石	san koi xia
山引江	san yin gong
山形	san xin
山形县	san xin xon
山彪镇	san bieu zen
山影	san yang
山径	san jin
山德勒	san de lei
山德拉	san de lai
山德里娜	san de li lo
山德鲁	san de lu
山志	san zi
山志学	san zi ho
山恶岭	san ngo liang
山慈姑	san cu gu
山慈菇	san cu gu
山房	san fong
山拗	san ngau
山掘子	san jyue zu
山推股份	san tei gu fen
山摇地动	san yeu ti teng
山明水秀	san miang xyu xiu
山易	san ya
山春晓	san qyun xieu
山晕	san yun
山普阳	san pu yong
山景	san jin
山望	san wong
山望见	san wong jien
山木	san mu
山木自寇	san mu cu kieu
山本	san ben
山本三男	san ben san lang
山本博	san ben bo
山本安英	san ben ngon yin
山本芳孝	san ben fong hau
山本英夫	san ben yin fu
山本萨夫	san ben sai fu
山术	san xyu
山李忠	san li jiung
山村	san qyun
山村里	san qyun li
山杨	san yong
